date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:35:34	89029/89029	---MCZ	200	added ('OK')	text/html	etag:W/%2267c69b35-15bc5%22	https://html.awaikenthemes.com/infine/index-video.html	C:/My%20Web%20Sites/lakshmi-plastic%20-%204%20-%20landing%20page%20with%20video/html.awaikenthemes.com/infine/index-video.html	(from )
17:35:34	46/46	---MCZ	200	added ('OK')	text/plain	etag:W/%2267c54045-1a%22	https://html.awaikenthemes.com/robots.txt		(from )
17:35:34	3117/3117	---M--	200	added ('OK')	image/png	etag:%2267c69b35-c2d%22	https://html.awaikenthemes.com/infine/images/favicon.png	C:/My%20Web%20Sites/lakshmi-plastic%20-%204%20-%20landing%20page%20with%20video/html.awaikenthemes.com/infine/images/favicon.png	(from https://html.awaikenthemes.com/infine/index-video.html)
17:35:35	232803/232803	---MCZ	200	added ('OK')	text/css	etag:W/%2267c69b35-38d63%22	https://html.awaikenthemes.com/infine/css/bootstrap.min.css	C:/My%20Web%20Sites/lakshmi-plastic%20-%204%20-%20landing%20page%20with%20video/html.awaikenthemes.com/infine/css/bootstrap.min.css	(from https://html.awaikenthemes.com/infine/index-video.html)
17:35:35	2505/2505	---MCZ	200	added ('OK')	text/css	etag:W/%2267c69b35-9c9%22	https://html.awaikenthemes.com/infine/css/slicknav.min.css	C:/My%20Web%20Sites/lakshmi-plastic%20-%204%20-%20landing%20page%20with%20video/html.awaikenthemes.com/infine/css/slicknav.min.css	(from https://html.awaikenthemes.com/infine/index-video.html)
17:35:35	18441/18441	---MCZ	200	added ('OK')	text/css	etag:W/%2267c69b35-4809%22	https://html.awaikenthemes.com/infine/css/swiper-bundle.min.css	C:/My%20Web%20Sites/lakshmi-plastic%20-%204%20-%20landing%20page%20with%20video/html.awaikenthemes.com/infine/css/swiper-bundle.min.css	(from https://html.awaikenthemes.com/infine/index-video.html)
17:35:35	132659/132659	---MCZ	200	added ('OK')	text/css	etag:W/%2267c69b35-20633%22	https://html.awaikenthemes.com/infine/css/all.css	C:/My%20Web%20Sites/lakshmi-plastic%20-%204%20-%20landing%20page%20with%20video/html.awaikenthemes.com/infine/css/all.css	(from https://html.awaikenthemes.com/infine/index-video.html)
17:35:36	76809/76809	---MCZ	200	added ('OK')	text/css	etag:W/%2267c69b35-12c09%22	https://html.awaikenthemes.com/infine/css/animate.css	C:/My%20Web%20Sites/lakshmi-plastic%20-%204%20-%20landing%20page%20with%20video/html.awaikenthemes.com/infine/css/animate.css	(from https://html.awaikenthemes.com/infine/index-video.html)
17:35:36	6951/6951	---MCZ	200	added ('OK')	text/css	etag:W/%2267c69b35-1b27%22	https://html.awaikenthemes.com/infine/css/magnific-popup.css	C:/My%20Web%20Sites/lakshmi-plastic%20-%204%20-%20landing%20page%20with%20video/html.awaikenthemes.com/infine/css/magnific-popup.css	(from https://html.awaikenthemes.com/infine/index-video.html)
17:35:36	6892/6892	---MCZ	200	added ('OK')	text/css	etag:W/%2267c69b35-1aec%22	https://html.awaikenthemes.com/infine/css/mousecursor.css	C:/My%20Web%20Sites/lakshmi-plastic%20-%204%20-%20landing%20page%20with%20video/html.awaikenthemes.com/infine/css/mousecursor.css	(from https://html.awaikenthemes.com/infine/index-video.html)
17:35:36	107817/107817	---MCZ	200	added ('OK')	text/css	etag:W/%2267c69b35-1a529%22	https://html.awaikenthemes.com/infine/css/custom.css	C:/My%20Web%20Sites/lakshmi-plastic%20-%204%20-%20landing%20page%20with%20video/html.awaikenthemes.com/infine/css/custom.css	(from https://html.awaikenthemes.com/infine/index-video.html)
17:35:36	16870/16870	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2267c69b35-41e6%22	https://html.awaikenthemes.com/infine/images/loader.svg	C:/My%20Web%20Sites/lakshmi-plastic%20-%204%20-%20landing%20page%20with%20video/html.awaikenthemes.com/infine/images/loader.svg	(from https://html.awaikenthemes.com/infine/index-video.html)
17:35:37	18026/18026	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2267c69b35-466a%22	https://html.awaikenthemes.com/infine/images/logo.svg	C:/My%20Web%20Sites/lakshmi-plastic%20-%204%20-%20landing%20page%20with%20video/html.awaikenthemes.com/infine/images/logo.svg	(from https://html.awaikenthemes.com/infine/index-video.html)
17:35:37	88152/88152	---MCZ	200	added ('OK')	text/html	etag:W/%2215858-62f7e3dc967b4%22	https://html.awaikenthemes.com/infine/	C:/My%20Web%20Sites/lakshmi-plastic%20-%204%20-%20landing%20page%20with%20video/html.awaikenthemes.com/infine/index.html	(from https://html.awaikenthemes.com/infine/index-video.html)
17:35:37	88152/88152	---MCZ	200	added ('OK')	text/html	etag:W/%2267c69b35-15858%22	https://html.awaikenthemes.com/infine/index.html	C:/My%20Web%20Sites/lakshmi-plastic%20-%204%20-%20landing%20page%20with%20video/html.awaikenthemes.com/infine/index-2.html	(from https://html.awaikenthemes.com/infine/index-video.html)
17:35:37	88813/88813	---MCZ	200	added ('OK')	text/html	etag:W/%2267c69b35-15aed%22	https://html.awaikenthemes.com/infine/index-slider.html	C:/My%20Web%20Sites/lakshmi-plastic%20-%204%20-%20landing%20page%20with%20video/html.awaikenthemes.com/infine/index-slider.html	(from https://html.awaikenthemes.com/infine/index-video.html)
17:35:38	66968/66968	---MCZ	200	added ('OK')	text/html	etag:W/%2267c69b35-10598%22	https://html.awaikenthemes.com/infine/about.html	C:/My%20Web%20Sites/lakshmi-plastic%20-%204%20-%20landing%20page%20with%20video/html.awaikenthemes.com/infine/about.html	(from https://html.awaikenthemes.com/infine/index-video.html)
17:35:38	49644/49644	---MCZ	200	added ('OK')	text/html	etag:W/%2267c69b35-c1ec%22	https://html.awaikenthemes.com/infine/service.html	C:/My%20Web%20Sites/lakshmi-plastic%20-%204%20-%20landing%20page%20with%20video/html.awaikenthemes.com/infine/service.html	(from https://html.awaikenthemes.com/infine/index-video.html)
